Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:251, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc60d8, ext:1381344978, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-186'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:252, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc7460, ext:1381349214, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-187'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:253, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc8bd0, ext:1381355379, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-188'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:259, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84cc9b70, ext:1381359507, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-189'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:260, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84ccb2e0, ext:1381365631, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-190'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:261, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d1b420, ext:1381693875, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-191'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:262, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d1ead0, ext:1381707179, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-192'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:263, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d1fe58, ext:1381712585, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-193'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:264, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d20df8, ext:1381716459, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-194'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:265, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d21d98, ext:1381721147, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-195'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:266, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d22d38, ext:1381724748, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-196'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:267, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d23cd8, ext:1381728578, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-197'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:270, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d24c78, ext:1381732728, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-198'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:271, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d26000, ext:1381737279, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-199'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:272, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d2fc40, ext:1381778175, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-200'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:273, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a84d32b20, ext:1381789528, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-201'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:274, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8544ec38, ext:1389244989, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-202'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:275, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85451348, ext:1389254493, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-203'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:276, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85451f00, ext:1389257738, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-204'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:277, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85452ab8, ext:1389260188, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-205'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:278, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85453288, ext:1389262822, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-206'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:279, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85456168, ext:1389274854, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-207'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:285, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85457cc0, ext:1389281173, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-208'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:286, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85459048, ext:1389286341, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-209'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:287, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85459fe8, ext:1389290193, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-210'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:288, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8545aba0, ext:1389293148, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-211'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:289, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8545bf28, ext:1389298114, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-212'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:290, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8545d698, ext:1389304558, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-213'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:291, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a8550ea88, ext:1390030258, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-214'
Received message msgId: pulsar.trackingMessageID{messageID:pulsar.messageID{ledgerID:127, entryID:292, batchIdx:0, partitionIdx:0}, tracker:(*pulsar.ackTracker)(nil), consumer:(*pulsar.partitionConsumer)(0xc0001c0820), receivedTime:time.Time{wall:0xc05a6e3a85514848, ext:1390055124, loc:(*time.Location)(0x4bbbba0)}} -- content: 'hello-215'
